Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,Drafted
Joshua Conerly,OT,Oregon,College Stats,5-Jun,311,5.05,34.5,,103,,,Washington Commanders / 1st / 29th pick / 2025,ConeJo00,1
Hayden Conner,G,Texas,College Stats,6-Jun,314,,,,,7.9,4.88,Arizona Cardinals / 6th / 211th pick / 2025,ConnHa00,1
Jalin Conyers,TE,Texas Tech,College Stats,4-Jun,260,4.74,35.5,,121,6.94,4.27,,ConyJa00,0
Brady Cook,QB,Missouri,College Stats,2-Jun,214,4.59,37,,128,7.01,4.17,,CookBr03,0
Ajani Cornelius,OT,Oregon,College Stats,5-Jun,310,,,,,,,Dallas Cowboys / 6th / 204th pick / 2025,CornAj00,1
Eli Cox,C,Kentucky,College Stats,4-Jun,306,5.02,32.5,,109,7.63,4.58,,CoxxEl00,0
Kitan Crawford,SAF,Nevada,College Stats,11-May,202,4.41,41.5,18,128,6.81,4.03,,-9999,1
Jeremy Crawshaw,P,Florida,College Stats,4-Jun,198,,,,,,,Denver Broncos / 6th / 216th pick / 2025,CrawJe00,1
Brandon Crenshaw-Dickson,OT,Florida,College Stats,7-Jun,316,5.33,24.5,,96,8.15,4.91,,CrenBr00,0
Jaxson Dart,QB,Mississippi,College Stats,2-Jun,223,,,,,,,New York Giants / 1st / 25th pick / 2025,DartJa00,1
Garrett Dellinger,G,LSU,College Stats,4-Jun,325,,,,,,,Baltimore Ravens / 7th / 243rd pick / 2025,DellGa00,1
Fadil Diggs,EDGE,Syracuse,College Stats,4-Jun,257,4.57,30.5,,121,,,New Orleans Saints / 7th / 254th pick / 2025,DiggFa00,1
Chimere Dike,WR,Florida,College Stats,1-Jun,196,4.34,38.5,,128,6.82,4.27,Tennessee Titans / 4th / 103rd pick / 2025,DikeCh00,1
CJ Dippre,TE,Alabama,College Stats,5-Jun,256,4.69,34.5,32,120,,,,DippCJ00,0
Ra'Mello Dotson,CB,Kansas,College Stats,1-Jun,192,4.59,34.5,,123,,,,DotsMe00,0
Ethan Downs,EDGE,Oklahoma,College Stats,4-Jun,269,4.69,34,32,119,7.58,4.59,,DownEt00,0
Jamon Dumas-Johnson,LB,Kentucky,College Stats,1-Jun,238,,,,,,,,DumaJa00,0
Power Echols,LB,North Carolina,College Stats,11-May,237,4.73,37,,115,7.6,4.56,,EchoPo00,0
Donovan Edwards,RB,Michigan,College Stats,11-May,205,4.44,38.5,23,,,,,EdwaDo01,0
Emeka Egbuka,WR,Ohio St.,College Stats,1-Jun,202,,,,,,,Tampa Bay Buccaneers / 1st / 19th pick / 2025,EgbuEm01,1
Nick Emmanwori,SAF,South Carolina,College Stats,3-Jun,220,4.38,43,20,138,,,Seattle Seahawks / 2nd / 35th pick / 2025,EmmaNi00,1
Aireontae Ersery,OT,Minnesota,College Stats,6-Jun,331,5.01,29.5,,111,7.81,4.82,Houston Texans / 2nd / 48th pick / 2025,ErseAi00,1
