Season,Id,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Ranking
2025,5226961,Chris Colby,WR,Villanova,,0.736,0.736,,0.642,0.58,1.129,0.682,0.79,17.659,17.659,0,4.497,6.384,6.777,8.182,9.476,533
2025,5226962,Brandon Binkowski,WR,Villanova,,0.274,0.274,,-0.013,0.27,2.593,0.124,0.775,3.567,3.567,0,-0.105,1.079,2.593,1.241,2.326,1216
2025,5226987,Derrick Gurley,QB,William & Mary,,-0.608,-0.608,,-0.608,,,-0.608,,-0.608,-0.608,0,-0.608,0,0,-0.608,0,563
2025,5226989,Joey Tomasso,QB,William & Mary,,-0.773,-0.773,,0.545,,,0.545,-2.091,-1.547,-1.547,0,0.545,0,0,0.545,-2.091,597
2025,5226993,Jor'dyn Whitelaw,RB,William & Mary,,-0.078,-0.125,-0.072,-0.058,-0.139,,-0.072,-0.125,-0.626,-0.125,-0.501,-0.348,-0.279,0,-0.501,-0.125,793
2025,5226996,Josh Miller,RB,William & Mary,,-0.335,,-0.335,-0.312,-0.38,-0.332,-0.34,-0.286,-3.345,0,-3.345,-1.873,-1.141,-0.332,-3.059,-0.286,992
2025,5227005,Armon Wright,WR,William & Mary,,0.168,0.057,1.098,0.378,0.144,-0.566,0.167,0.17,4.712,1.418,3.293,5.677,1.3,-2.265,3.011,1.701,1126
2025,5227007,Haven Mullins,TE,William & Mary,,1.398,1.398,,,0.785,2.625,1.264,1.666,4.195,4.195,0,0,1.57,2.625,2.529,1.666,355
2025,5227018,Mekhi Nelson,RB,Nebraska,B1G,0.004,-0.093,0.023,-0.002,0.012,,0.001,0.015,0.087,-0.371,0.458,-0.025,0.112,0,0.029,0.058,706
2025,5227034,Maika Heck,TE,Central Connecticut,,0.248,0.248,,-0.294,0.47,0.884,0.015,0.597,2.476,2.476,0,-1.175,1.881,1.769,0.088,2.388,458
2025,5227043,Sean O'Brien,TE,Central Connecticut,,-0.034,-0.034,,-0.252,0.17,-0.402,-0.292,0.743,-0.537,-0.537,0,-1.258,1.526,-0.804,-3.508,2.972,723
2025,5227057,Jalen Jones,WR,Alabama State,,0.802,0.811,0.255,0.579,0.926,1.222,0.494,1.684,46.509,46.254,0.255,17.954,13.886,14.669,21.255,25.254,89
2025,5227061,Jamarie Hostzclaw,RB,Alabama State,,0.145,0.595,0.105,0.077,0.058,0.469,0.112,0.291,19.315,6.541,12.774,5.601,2.203,9.856,12.045,7.269,138
2025,5227064,Ashton Ashford,RB,Alabama State,,-0.167,,-0.167,-0.167,,,-0.167,,-0.167,0,-0.167,-0.167,0,0,-0.167,0,734
2025,5227083,Derick Harden,TE,Alabama State,,0.705,0.705,,1.694,0.687,-0.177,0.789,0.453,5.637,5.637,0,1.694,4.121,-0.177,4.732,0.906,307
2025,5227106,Logan Kushner,QB,Duquesne,,0.129,0.6,-0.006,0.487,0.474,-0.576,0.156,-0.091,1.159,1.199,-0.04,1.462,1.423,-1.727,1.25,-0.091,495
